movieid,title,year,director,actor1,actor2,actor3,actor4,actor5,plot
5856,Do You Remember Dolly Bell? ,1981,Emir Kusturica,Ljiljana BlagojeviÄ‡,Slavko Å timac,Slobodan AligrudiÄ‡,Pavle VuisiÄ‡,Mira Banjac,A young man living in Sarajevo in the 1960s hides a young prostitute and falls in love with her.
6130,"Soldier, The",1982,James Glickenhaus,Ken Wahl,Klaus Kinski,Alberta Watson,William Prince,,
6938,Billabong Odyssey,2003,Philip Boston,Mike Parsons,Ken Bradshaw,Layne Beachley,Brad Gerlach,Darryl Virostko,"Some of the biggest names in surfing, including Shawn Barron, Ken Bradshaw and Mike Parsons, are on the hunt for the biggest waves in the world. In their quest, they leave the coastline behind and travel to the heart of the ocean, where waves up to 100 feet in height have been recorded. Riding these gigantic waves can be fatal, but for these surfers the risk is worth it. Not only do they earn bragging rights if they can find and ride a 100-foot wave, but they'll also earn a $500,000 cash prize.â€?Â More"
7288,Foolish Wives,1922,Erich von Stroheim,Erich von Stroheim,Maude George,Mae Busch,Miss DuPont,Rudolph Christians,"In this silent classic, Sergius Karamzin (Erich von Stroheim) is a con artist who pretends to be a count in order to charm and swindle naÃ¯ve women for money. He lives in Monte Carlo, Monaco, with his cousins, ""princesses"" Olga (Maude George) and Vera (Mae Busch), who are in on his scams. When Karamzin meets American diplomat Andrew Hughes (Rudolph Christians), the count immediately takes aim at his wife, Helen (Miss DuPont). But Karamzin soon finds he has double-crossed too many women.â€?Â More"
8269,Short Time,1990,Gregg Champion,Dabney Coleman,Teri Garr,Matt Frewer,Joe Pantoliano,Barry Corbin,"As a result of a misdiagnosis, Detective Burt Simpson (Dabney Coleman) is told he has just weeks to live. He gains a new respect for his life and loved ones but learns that in order for his wife, Carolyn (Teri Garr), and son, Dougie (Kaj-Erik Eriksen), to collect any insurance money, he must be killed in the line of duty. He then becomes the most reckless man on the police force, volunteering for dangerous assignments over the objections of his by-the-book partner, Ernie Dills (Matt Frewer).â€?Â More"
8393,Give My Regards to Broad Street,1984,Peter Webber,Paul McCartney,Ringo Starr,Linda McCartney,Barbara Bach,Bryan Brown,A rock star (Paul McCartney) daydreams that he will be ruined unless he finds a missing master tape by midnight.
8427,Americathon,1979,Neal Israel,John Ritter,Harvey Korman,Elvis Costello,Fred Willard,Meat Loaf,The president (John Ritter) tries to bail out the country with a telethon in 1998. Narrated by George Carlin.
8453,It Had to Be You,2000,Steven Feder,Michael Vartan,Natasha Henstridge,Michael Rispoli,Olivia d'Abo,Faith Prince,"The sparks fly when Anna Penn (Natasha Henstridge) and Charlie Hudson (Michael Vartan) meet. She's a sweet schoolteacher; he's an aspiring writer. Unfortunately, they're both engaged to other people. In fact, they're staying at the same New York City hotel in order to work on wrapping up the last details of their nuptials. Over days and evenings of joint wedding planning, the two grow closer -- and start to wonder if they're getting married to the right people after all.â€?Â More"
25830,Show Boat,1936,James Whale,Irene Dunne,Paul Robeson,Allan Jones,Helen Morgan,Hattie McDaniel,"Riverboat entertainers find love, laughs and hardships as they sail along ""Old Man River."""
25951,In the Good Old Summertime,1949,,Judy Garland,Van Johnson,Buster Keaton,S. Z. Sakall,Spring Byington,Andrew and Veronica have a very unusual first meeting. They develop an instant dislike for each other. The situation changes when Andrew is forced to hire Veronica at his music store.
26277,Slither,1973,Howard Zieff,James Caan,Sally Kellerman,Peter Boyle,Louise Lasser,Richard B. Shull,"While searching for a small fortune of embezzled money, an ex-con, a small-time bandleader, his doting wife and a kooky drifter find themselves being followed by the bad guys."
26710,"Welcome Home, Roxy Carmichael",1990,Jim Abrahams,Winona Ryder,Jeff Daniels,Thomas Wilson Brown,Laila Robins,Dinah Manoff,"Movie star Roxy Carmichael is abandoning the bright lights of Hollywood, Calif. and returning to her small Ohio hometown -- at least long enough to dedicate a city building. And now the whole town of Clyde is bracing for Carmichael's return, most of all her now-married old flame Denton Webb (Jeff Daniels) and troubled teen Dinky Bossetti (Winona Ryder). An orphan with few friends, Dinky is convinced that Carmichael is her birth mother, and that the actress will reclaim her when she returns.â€?Â More"
26811,"Bride with White Hair, The ",1993,,,,,,,
27867,"Football Factory, The",2004,Nick Love,Danny Dyer,Tamer Hassan,Frank Harper,Roland Manookian,Neil Maskell,"British soccer fans (Danny Dyer, Frank Harper, Tamer Hassan) celebrate their favorite sport in a wash of drugs, alcohol and violence."
31682,"Nomi Song, The",2004,,,,,,,
32875,Holiday ,1949,,,,,,,
33119,Miracle in Milan ,1951,,,,,,,
34648,Acacia,2003,Park Ki-hyung,Shim Hyeâ€‘jin,Jinâ€‘geun Kim,Ohâ€‘bin Mun,Naâ€‘yoon Jeong,Heeâ€‘tae Jeong,"Horror tale of a childless couple who adopt a boy, but when the wife becomes miraculously pregnant terrible accidents begin to tear the household apart."
38843,55 Days at Peking,1963,,Charlton Heston,Ava Gardner,Nicholas Ray,David Niven,Flora Robson,An American major leads the defense against Chinese revolutionaries in 1900 Peking.
40033,"Adventures of Prince Achmed, The ",1926,,,,,,,
42172,Kevin & Perry Go Large,2000,,,,,,,
43177,Over the Edge,1979,Jonathan Kaplan,Matt Dillon,Michael Eric Kramern,Vincent Spano,Pamela Ludwig,Harry Northup,"A group of defiant teenagers, Carl, Johnny, Claude and Richie, stay in the community of New Granada. Their lives change after Richie is shot dead while being chased by a police officer."
43444,Made in Britain,1982,Alan Clarke,Tim Roth,Bill Stewart,Terry Richards,Eric Richard,Sean Chapman,British social workers see hope for a teenage skinhead (Tim Roth) who likes to steal cars and throw bricks.
47330,Dirty Mary Crazy Larry,1974,John Hough,Peter Fonda,Susan George,Adam Roarke,Vic Morrow,Kenneth Tobey,"Larry, a car driver and his mechanic Deke, rob a grocery store to finance their dream of getting onto the NASCAR circuit. But, things get complicated when Larry's one night stand Mary tags along too."
48045,Fear City: A Family-Style Comedy ,1994,,,,,,,
53592,Four Minutes ,2006,,,,,,,
56158,This Christmas,2007,Preston A. Whitmore II,Chris Brown,Idris Elba,Regina King,Lauren London,Sharon Leal,A Christmas time drama centred around the Whitfield family's first holiday together in four years. They  rediscover what makes them a family through ups and downs they face.
56511,Redacted,2007,Brian De Palma,Kel O'Neill,Patrick Carroll,Izzy Diaz,Rob Devaney,Daniel Stewart Sherman,"A fictional documentary discusses the effects the Iraq war has had on soldiers and local people through interviews with members of an American military unit, the media, and local Iraqis."
57476,"Cheyenne Social Club, The",1970,Gene Kelly,James Stewart,Henry Fonda,Shirley Jones,Elaine Devry,Sue Ane Langdon,"Cowboy John inherits a business in Wyoming. But he gets shocked when he realises that it is a brothel and tries to close it. Things change when a local customer beats Jenny, the brothel's manager."
57873,Dark Angel ,1990,Craig R. Baxley,Dolph Lundgren,Matthias Hues,Brian Benben,Betsy Brantley,Jay Bilas,"Renegade cop Jack Caine (Dolph Lundgren) is intent on snuffing out a dangerous gang of drug traffickers known as the ""White Boys."" When the gang makes off with a cache of heroin from federal custody and destroys the building to conceal evidence of their crime, Caine investigates with straight-arrow FBI agent Arwood Smith (Brian Benben). But bizarre new clues reveal that the Boys' criminal enterprise extends much further than anyone had previously imagined.â€?Â More"
61312,Noise,2007,,,,,,,
65315,Young Gods ,2003,,,,,,,
65665,Hamlet,2000,Michael Almereyda,Ethan Hawke,Julia Stiles,Kyle MacLachlan,Bill Murray,Diane Venora,"In this modern update of Shakespeare's play, Hamlet is a filmmaker who struggles for power of his dead father's company, even as the new boss manages to take total control of the proceedings."
69339,Chain Reaction,2006,Olaf Ittenbach,Martina Ittenbach,Chris Krisea,Dan van Husen,JÃ?rgen Prochnow,Simon Newby,A doctor (Christopher Kriesa) and a group of escaped convicts find death at an isolated farmhouse.
70871,"Day in the Country, A ",1936,,,,,,,
72777,Invaders from Mars,1986,Tobe Hooper,Karen Black,Hunter Carson,Timothy Bottoms,Louise Fletcher,Laraine Newman,"Remake of the classic 50s film, where a young boy tries to stop an invasion of his town by aliens, who take over the the minds of his parents, his least-liked schoolteacher, and other people."
72874,"Peacekeeper, The",1997,FrÃ©dÃ©ric Forestier,Dolph Lundgren,Roy Scheider,Michael Sarrazin,Montel Williams,Christopher Heyerdahl,"As punishment for participating in a vigilante relief effort, Maj. Frank Cross (Dolph Lundgren) is assigned to guard a suitcase that contains President Robert Baker's (Roy Scheider) classified nuclear launch codes. While the president addresses veterans at a Chicago hotel, a terrorist group assaults Cross and steals the codes. Cross struggles to redeem himself -- even as the terrorists threaten to launch a nuclear missile unless the president shoots himself in the head on national television.â€?Â More"
73870,"Thaw, The",2009,Mark Lewis,Val Kilmer,Aaron Ashmore,Kyle Schmid,Martha MacIsaac,Steph Song,"Four ecology research students discover the real horror of global warming in the Arctic in the form of a prehistoric parasite frozen inside a mammoth. Now, it is up to them to stop a global disaster."
75351,"Night Stalker, The",1972,John Llewellyn Moxey,Darren McGavin,Simon Oakland,Barry Atwater,Carol Lynley,Ralph Meeker,"After several high-profile newspapers fire him for his difficult attitude, investigative journalist Carl Kolchak (Darren McGavin) finds a job following the police beat for a small Las Vegas publication. When Carl discovers a series of dead showgirls drained of blood with bite marks on their necks, the police hesitate to take the case any further, and his boss (Simon Oakland) wants nothing to do with the story, leading Carl to believe there may be a real vampire prowling the city streets.â€?Â More"
77264,Ballet Shoes,2007,Sandra Goldbacher,Emma Watson,Lucy Boynton,Yasmin Paige,Emilia Fox,Victoria Wood,"Adopted by an eccentric explorer (Richard Griffiths), three orphans (Emma Watson, Yasmin Paige, Lucy Boynton) struggle to fulfill their ambitious dreams."
77266,Disgrace,2008,Steve Jacobs,John Malkovich,Jessica Haines,Natalie Becker,Antoinette Engel,Eriq Ebouaney,"In Cape Town, South Africa, during the final years of apartheid, David Lurie (John Malkovich), disgraced by an improper affair with a female student, decamps to live with his daughter, Lucy (Jessica Haines), on her country farm. David quickly settles into the quieter pace of rural life and begins to make peace with the scandal. But trouble erupts when a group of black youths rob the farm and rape Lucy, leading David to question his place within the social fabric of South Africa.â€?Â More"
77731,Vengeance ,2009,,,,,,,
80181,Elephants Dream,2006,Bassam Kurdali,Big Buck Bunny,Sintel,Tears of Steel,Cosmos Laundromat,Elephant's Dream,"Two men (Cas Jansen, Tygo Gernandt) wander around the innards of an infinite machine."
82059,Farewell ,2009,,,,,,,
82931,"Last Circus, The ",2010,,,,,,,
86668,Louis Theroux: Law & Disorder,2008,Emma Cooper,Law and Disorder in Philadelphia,Law and Disorder in Lagos,A Place for Paedophiles,Louis Theroux: Behind B...,Louis Theroux: Gambling...,"Law and Disorder in Johannesburg is a Louis Theroux documentary about the crime and private security situation in Johannesburg, South Africa. Wikipedia"
88272,"Woman, The",2011,Lucky McKee,Pollyanna McIntosh,Sean Bridgers,Angela Bettis,Lauren Ashley Carter,Carlee Baker,A lawyer (Sean Bridgers) puts his family in jeopardy when he captures the last member (Pollyanna McIntosh) of a violent clan and tries to forcibly tame her.
88380,Dylan Dog: Dead of Night,2010,Kevin Munroe,Brandon Routh,Sam Huntington,Anita Briem,Taye Diggs,Peter Stormare,"Ace detectives, Dylan Dog and his partner Marcus deal with both, undead and real world. When Marcus befalls to be a zombie, Dylan must unfold the monster mystery involved in Louisiana Bayou."
89356,Chinese Take-Out ,2011,,,,,,,
90254,"Dream Catcher, The",1999,Edward Radtke,Maurice Compte,Paddy Connor,Joseph Arthur,Jeanne Heaton,Rohn Thomas,An abandoned teen jumps a freight train from Philadelphia to Indiana in search of his uncle in hope he will help him with financial difficulties. He meets a homeless teen in Ohio and they find his uncle who is equally broke. The two teens head to Oklahoma in search of his ex-con father.
92236,In Darkness,2011,Agnieszka Holland,Robert WiÄ™ckiewicz,Agnieszka Grochowska,Benno FÃ?rmann,Kinga Preis,Maria Schrader,"Leopold Socha (Robert Wieckiewicz) is a sewer worker in Nazi-occupied Lvov, Poland. When he finds a group of Jews hiding in the sewers, Leopold agrees to protect them from the Nazis in exchange for money, even though it could mean his death if they are found. Though he is solely motivated by cash at first, their experiences lead Leopold to adopt a different view of the people under his protection. When catastrophe strikes, Leopold is forced into a final act of courage.â€?Â More"
92498,Dylan Moran Live: What It Is,2009,,,,,,,
95237,Detention,2012,,,,,,,
98607,Redline,2009,Takeshi Koike,Takuya Kimura,YÅ« Aoi,Tadanobu Asano,Tatsuya Gashuin,KÅçji Ishii,A daredevil driver (Takuya Kimura) falls for an alluring woman (YÃ» Aoi) as he tries to win a race that occurs only once every five years.
104361,Ain't Them Bodies Saints,2013,David Lowery,Rooney Mara,Casey Affleck,Ben Foster,Keith Carradine,Nate Parker,"A man (Casey Affleck) takes the fall for his lover's (Rooney Mara) crime, then four years later breaks out of prison to find her and their young daughter, who was born during his incarceration."
110295,"Legend of Hercules, The",2014,Renny Harlin,Kellan Lutz,Gaia Weiss,Scott Adkins,Liam McIntyre,Roxanne McKee,"Hercules is sold into slavery by his stepfather. Unknown to him, he possesses extraordinary strength. He must use his powers to regain his lost kingdom."
110322,Dom Hemingway,2014,,,,,,,
110675,In Your Eyes,2014,Brin Hill,Zoe Kazan,Michael Stahlâ€‘David,Nikki Reed,Jennifer Grey,Mark Feuerstein,A neglected and sheltered housewife (Zoe Kazan) shares a metaphysical connection with a charismatic ex-con (Michael Stahl-David).
112070,Maps to the Stars,2014,David Cronenberg,Julianne Moore,Robert Pattinson,Mia Wasikowska,John Cusack,Sarah Gadon,"Driven by an intense need for fame and validation, members of a dysfunctional Hollywood dynasty have lives as dramatic as any movie."
744,Brothers in Trouble,1995,,,,,,,
887,Talk of Angels,1998,Nick Hamm,PenÃ©lope Cruz,Vincent PÃ©rez,Polly Walker,Franco Nero,Frances McDormand,"In 1936, Mary Lavelle (Polly Walker) leaves Ireland for Spain to become a governess for a year before marrying. Her employer, Dr. Vincente Areavaga (Franco Nero), is a former poet who sympathizes with the forces fighting against Fascist dictator Franco. His son, Francisco (Vincent Perez), has been fired from his government job for associating with the rebels. Despite his being married, Mary finds herself drawn to the charismatic Francisco and his cause.â€?Â More"
1768,Mother and Son ,1997,Alexander Sokurov,,,,,,
1796,In God's Hands,1998,Zalman King,Shane Dorian,Matt George,Matty Liu,Bret Michaels,Shaun Tomson,"Tale of a quest undertaken by three professional surfers, Shane Mickey and Keoni, where they travel the international shores such as Madagascar, Bali and Hawaii, in search of that one perfect wave."
2223,"Farmer's Wife, The",1928,Alfred Hitchcock,Lillian Hallâ€‘Davis,Gordon Harker,Jameson Thomas,,,
2225,Easy Virtue,1928,Alfred Hitchcock,Isabel Jeans,Franklin Dyall,Robin Irvine,Ian Hunter,Violet Farebrother,An alcoholic's (Franklin Dyall) wife (Isabel Jeans) falls in love with a younger man (Robin Irvine).
2480,Dry Cleaning ,1997,,,,,,,
3377,Hangmen Also Die,1943,Fritz Lang,Brian Donlevy,Walter Brennan,Anna Lee,Hans Heinrich von Twar...,Alexander Granach,"After the Nazi administrator of Czechoslovakia is shot, his assassin tries to elude the Gestapo and struggles with his desire to give himself up as hostages are executed."
3560,Empire of Passion ,1978,,,,,,,
4088,"Big Town, The",1987,,Diane Lane,Matt Dillon,Tommy Lee Jones,Suzy Amis Cameron,Bruce Dern,A lucky country boy (Matt Dillon) turns crapshooter in 1950s Chicago and falls for a gangster's (Tommy Lee Jones) stripper wife (Diane Lane).
4112,Julia and Julia ,1987,,,,,,,
4163,Carman: The Champion,2001,Lee Stanley,Carman,Patricia Manterola,Michael Nouri,Jed Allan,Jeremy Williams,"Carman must enter the boxing ring once again, though the doctor has advised him against it. He picks up his gloves for one last fight, for his father, for his church, for his love, and for his life."
5178,Fun,1994,Rafal Zielinski,Alicia Witt,RenÃ©e Humphrey,Leslie Hope,William R. Moses,Ania Suli,"Two wild teenage girls (Alicia Witt, Renee Humphrey) spend time in juvenile detention for killing an elderly woman."
5510,"Ch√¢teau, The",2001,,,,,,,
5518,Beau Pere ,1981,,,,,,,
5778,Pieces ,1982,,,,,,,
6088,Jekyll & Hyde... Together Again,1982,,,,,,,
6540,Madame Sat√£,2002,Karim AÃ¯nouz,LÃ¡zaro Ramos,Marcelia Cartaxo,Flavio Bauraqui,Renata Sorrah,Emiliano Queiroz,"In the 1930s slums of Rio de Janeiro, JoÃ£o Francisco dos Santos (LÃ¡zaro Ramos) is many things -- the son of black slaves, an ex-con who spent more than two decades in prison, a gangster, a homosexual, and patriarch to a surrogate family of social outcasts. JoÃ£o seeks an outlet of expression through a cabaret act, where he cultivates the transvestite stage persona Madame SatÃ£ and becomes a revolutionary icon for society's neglected during a time of upheaval in post-abolition Brazil.â€?Â More"
6647,"Business of Fancydancing, The",2002,Sherman Alexie,Evan Adams,Michelle St. John,Gene Tagaban,Cynthia Geary,Swil Kanim,"A successful poet (Evan Adams) and an old buddy (Gene Tagaban), both American Indians, reunite for the funeral of their longtime friend."
6673,"Ay, Carmela! ",1990,Carlos Saura,Carmen Maura,AndrÃ©s Pajares,Gabino Diego,JosÃ© Sancho,Miguel RellÃ¡n,"Carmela (Carmen Maura) and Paulino (AndrÃ©s Pajares) are entertainers during the Spanish Civil War. They travel the country with their young, mute sidekick, Gustavete (Gabino Diego), and perform for the Republican troops. They're also fiery patriots, which puts them in danger when they're captured by Franco's soldiers during their tour. But instead of death, they're sentenced to perform for their enemy, putting their loyalty on the line in the face of survival.â€?Â More"
6968,Death Machine,1995,,,,,,,
7052,Mary of Scotland,1936,,Katharine Hepburn,Fredric March,Florence Eldridge,John Carradine,Douglas Walton,"This film is a biography of the erratic Scottish Queen, Mary Stuart, who returned to Scotland to reclaim her throne but was overthrown by her own family."
7182,Lord Love a Duck,1966,George Axelrod,Tuesday Weld,Roddy McDowall,Lola Albright,Ruth Gordon,Max Showalter,"Alan Musgrave, a student, goes to inordinate lengths to fulfil the wishes of  his friend and high-school senior Barbara, which range from joining an expensive girls' club to becoming a Hollywood star."
7343,Wisconsin Death Trip,1999,James Marsh,Ian Holm,Marcus Monroe,Jo Vukelich,John Schneider,Krista Grambow,"The late 19th century finds the town of Black River Falls experiencing a wave of disturbing, macabre and truly eccentric occurrences. Perhaps the town's economic troubles or the harsh Wisconsin climate contribute to the plague of murder, arson, insanity, disease, suicide and other ills the cursed citizens endure. Part archival investigation, part dramatization, this film resurrects the demons of Black River Falls through bleak photographs and re-enactments of the town's sordid news articles.â€?Â More"
7407,Africa Screams,1949,Charles Barton,Lou Costello,Bud Abbott,Shemp Howard,Joe Besser,Hillary Brooke,"When the bookish and mild-mannered Stanley Livingston (Lou Costello) agrees to go along with a daft scheme thought up by his friend Buzz Johnson (Bud Abbott), the bumbling duo gets roped into an expedition to the jungles of Africa. With Stanley posing as a seasoned hunter, they accompany explorer Diana Emerson (Hillary Brooke) on a quest for a hidden diamond mine. However, numerous natives and wild animals come between the treasure-seeking party and their destination.â€?Â More"
7719,"Comedy of Terrors, The",1964,,,,,,,
8421,Dying of Laughter ,1999,,,,,,,
8687,Orgy of the Dead,1965,Stephen C. Apostolof,,,,,,
8771,Sherlock Holmes: Terror by Night,1946,Roy William Neill,Basil Rathbone,Nigel Bruce,Dennis Hoey,Renee Godfrey,Alan Mowbray,"This movie features Sherlock Holmes, who sets out to protect a priceless diamond from thieves."
8775,"Counterfeit Traitor, The",1962,George Seaton,William Holden,Lilli Palmer,Hugh Griffith,Klaus Kinski,Carl Raddatz,"Oil merchant Eric (William Holden), blacklisted by the Allies for selling to the Nazis, agrees to spy on the Germans to clear his name. He presents a false plan to the Germans, which gains him the trust of senior officials and allows him to inspect existing oil stations. Meanwhile, Eric passes the information to Collins (Hugh Griffith), a British intelligence expert. However, the Nazis learn that Eric's lover, Marianne (Lilli Palmer), is secretly an Allied spy, putting them both in danger.â€?Â More"
8889,"Legacy, The",1978,Richard Marquand,Sam Elliott,Katharine Ross,Roger Daltrey,Hildegarde Neil,,
26128,What a Way to Go!,1964,J. Lee Thompson,Shirley MacLaine,Paul Newman,Gene Kelly,Robert Mitchum,Dean Martin,"Louisa May Foster, a widow, donates $200 million to the Internal Revenue Service because all her four marriages end in her husbands' deaths, leading her to believe that the money is cursed."
26189,"I Love You, Alice B. Toklas!",1968,Hy Averback,Peter Sellers,Leigh Taylorâ€‘Young,Jo Van Fleet,Joyce Van Patten,David Arkin,"Harold Fine, a lawyer, is confused about his upcoming wedding with his girlfriend Joyce and wants to escape the midlife crisis. His life changes when his brother, a hippie, introduces him to Nancy."
26540,Demons ,1985,Lamberto Bava,Natasha Hovey,Fiore Argento,Urbano Barberini,Bobby Rhodes,Michele Soavi,"Patrons (Natasha Hovey, Urbano Barberini) of a sneak preview see others zombie-fied to heavy-metal music in a Berlin theater."
26996,Safe House,1998,Eric Steven Stahl,Patrick Stewart,Kimberly Williamsâ€‘Paisley,HÃ©ctor Elizondo,Craig Shoemaker,James Harlow,"Former government agent Mace Sowell (Patrick Stewart) is convinced that his former supervisor, who is making a bid for the United States presidency, is out to kill him. But his recent diagnoses of Alzheimer's leads his daughter (Kimberly Williams) to dismiss his paranoia. To defend himself from the threats on his life, imagined or not, Mace holes up in his home and fills it with deadly security precautions -- and his daughter hires a psychiatrist (HÃ©ctor Elizondo) to watch over him.â€?Â More"
27009,"Torrente, el brazo tonto de la ley",1998,Santiago Segura,Santiago Segura,Tony Leblanc,Neus Asensi,Chus Lampreave,Javier CÃ¡mara,A former policeman (Santiago Segura) enlists his nerdy friend (Javier CÃ¡mara) to help bust drug traffickers moving heroin through a Chinese restaurant.
27114,Takedown,2000,Joe Chappelle,Skeet Ulrich,Russell Wong,Tom Berenger,Angela Featherstone,Amanda Peet,"Based on the story of the capture of computer hacker 'Kevin Mitnick'. However, when breaks into the computer of a security expert and an ex-hacker, he's in for a shock and has more than he can handle."
27461,My Little Eye,2002,,,,,,,
33113,Act of Violence,1948,,Robert Ryan,Van Heflin,Janet Leigh,Mary Astor,Jan Sterling,An embittered soldier stalks his former commander for betraying his men in a prison camp.
34314,Funny Ha Ha,2002,Andrew Bujalski,Andrew Bujalski,Kate Dollenmayer,Christian Rudder,Justin Rice,Myles Paige,"After graduating from college, Marnie (Kate Dollenmayer) is living in Boston. Looking for temporary work while trying to figure out what it is she wants to do, Marnie grapples with her feelings toward her good friend Alex (Christian Rudder), who doesn't seem to feel the same way about her. As she attempts to mature while surviving her dreary desk job, Marnie meets Mitchell (Andrew Bujalski), a shy, neurotic coworker who helps her better understand herself.â€?Â More"
39659,Teorema,1968,Pier Paolo Pasolini,Terence Stamp,Silvana Mangano,Laura Betti,Anne Wiazemsky,Massimo Girotti,Involvement with an ethereal stranger (Terence Stamp) leaves an indelible spiritual effect on a Milanese bourgeoisie family.
39779,Tarzan and His Mate,1934,,Johnny Weissmuller,Maureen O'Sullivan,Neil Hamilton,Paul Cavanagh,Paul Porcasi,"Tarzan and Jane live in the jungle in harmony with the animals. Holt, Jane's ex-lover, goes to Africa with his friend in search of ivory and to convince Jane to return with him."
40752,Takeshis',2005,Takeshi Kitano,Takeshi Kitano,Kotomi Kyono,Kayoko Kishimoto,Susumu Terajima,Ren Osugi,"Beat Takeshi, a prominent actor, meets a look-alike named Kitano, who is a struggling actor. But after the meeting, Kitano's dreams take a violent, surreal turn. Japanese."
41753,8 Million Ways to Die,1986,Hal Ashby,Jeff Bridges,Andy GarcÃ?a,Rosanna Arquette,Alexandra Paul,Randy Brooks,"Matt Scudder (Jeff Bridges) is a depressed and hard-drinking Los Angeles cop troubled by a shooting that occurred in the line of duty. After Matt meets Sunny (Alexandra Paul), a call girl involved with powerful drug lord Angel Moldonado (Andy Garcia), he decides that he wants to help her escape the shady underworld. However, Sunny is soon found dead, and Matt tries to win the trust of Angel and his girlfriend, Sarah (Rosanna Arquette), in order to take him down.â€?Â More"
44511,Unknown White Male,2005,Rupert Murray,,,,,,
47503,02:37,2006,Murali K. Thalluri,Teresa Palmer,Frank Sweet,Joel Mackenzie,Xavier Samuel,Clementine Mellor,"2:37 is a 2006 Australian drama film, written, produced, and directed by filmmaker Murali K. Thalluri and starring an ensemble cast including Teresa Palmer, Joel Mackenzie, Frank Sweet, Charles Baird, ... Wikipedia"
47670,"Syrian Bride, The",2004,Eran Riklis,Hiam Abbass,Clara Khoury,Makram Khoury,Ashraf Barhom,Ali Suliman,"Mona (Clara Khoury), a Druze bride-to-be, lives in a village on the border of Israel and Syria. Her father, political leader Hammed (Makram J. Khoury), wants her to marry a Syrian comedian, but her move to Syria would likely be a permanent one, considering the political unrest between the two countries. The wedding planning is a nightmare, and tensions are high -- especially when Mona's siblings, who have moved on to new countries and complicated relationships, come home before the big day.â€?Â More"
47904,"Notti bianche, Le ",1957,,,,,,,
51857,"Taste of Honey, A",1961,Tony Richardson,Rita Tushingham,Shelagh Delaney,Dora Bryan,Murray Melvin,Robert Stephens,"Jo, a college girl is impregnated by a sailor. When Geoff, a gay man offers to help her raise her child, Jo's abusive mother, Helen decides to move in with them."
52443,Origin: Spirits of the Past ,2006,,,,,,,
52927,Syndromes and a Century ,2006,,,,,,,
53569,"Amateurs, The ",2005,,,,,,,
54967,Hunting and Gathering ,2007,,,,,,,
58365,Chicago 10,2007,Brett Morgen,Nick Nolte,Hank Azaria,Mark Ruffalo,Dylan Baker,Liev Schreiber,"Deftly combining contemporary commentary with archival materials and animated reenactments, ""Chicago 10"" examines the demonstrations at the 1968 Democratic Convention and their eruption into rioting in the wake of police provocation. From the aftermath of five days of conflict emerges the trial of the controversial Chicago Eight, activists who include pacifist David Dellinger (Dylan Baker) and Youth International Party founders Abbie Hoffman (Hank Azaria) and Jerry Rubin (Mark Ruffalo).â€?Â More"
58367,"Romulus, My Father",2007,Richard Roxburgh,Eric Bana,Franka Potente,Kodi Smitâ€‘McPhee,Marton Csokas,Russell Dykstra,Drama about a Yugoslavian man who struggles to raise his young son alone in Australia after his depressed wife leaves them to fend for themselves in the foreign country.
60103,Angel Face,1952,Otto Preminger,Robert Mitchum,Jean Simmons,Mona Freeman,Herbert Marshall,Barbara O'Neil,"When Mrs. Tremayne is mysteriously poisoned with gas, ambulance driver Frank Jessup meets her refined but sensuous stepdaughter Diane, who quickly pursues and infatuates him."
60654,"Last Mistress, The ",2007,,,,,,,
60990,"End of Summer, The ",1961,,,,,,,
61742,Maradona by Kusturica,2008,Emir Kusturica,Diego Maradona,Emir Kusturica,Manu Chao,Fidel Castro,Ernesto Cantu,"Maradona by Kusturica is a documentary on the life of Argentine footballer Diego Maradona, directed by the award-winning Serbian filmmaker Emir Kusturica. The documentary premiered at the Cannes Film Festival 2008. Wikipedia"
68482,XIII: The Conspiracy,2008,,,,,,,
69372,Big Man Japan ,2007,,,,,,,
70015,Polytechnique,2009,Denis Villeneuve,Karine Vanasse,Maxim Gaudette,Ã‰velyne Brochu,SÃ©bastien Huberdeau,Martin Watier,Polytechnique is a 2009 Canadian film directed by Denis Villeneuve and written by Villeneuve and Jacques Davidts. Wikipedia
73741,Ninja,2009,Isaac Florentine,Scott Adkins,Mika Hijii,Tsuyoshi Ihara,Togo Igawa,Todd Jensen,"Casey must go to NYC and protect the Yoroi Bitsu, an armoured container full of weapons that belong to the last Koga ninja, from getting into the hands of Masazuka, a scorned student from their dojo."
74752,Cabin Fever 2: Spring Fever,2009,,,,,,,
76158,Air Doll ,2009,,,,,,,
78313,Adulthood,2008,Noel Clarke,Noel Clarke,Adam Deacon,Scarlett Alice Johnson,Jacob Anderson,Plan B,"After serving six years for killing his schoolmate, a young man (Noel Clarke) learns that someone is out for revenge."
83478,Ong-Bak 3: The Final Battle ,2010,,Tony Jaa,Dan Chupong,Mum Jokmok,Primrata Dejâ€‘Udom,Sarunyu Wongkrachang,"Tien is captured and almost beaten to death before he is saved and brought back to the Kana Khone villagers. But very soon his arch-rivals return, challenging Tien for a final duel."
87205,"Tunnel, The",2011,Carlo Ledesma,Luke Arnold,Bel DeliÃ¡,Andy Rodoreda,Goran D. Kleut,James Caitlin,A film crew learns of a government cover-up and investigates abandoned subway tunnels that are home to something sinister.
